                                                             |
|-------------|-----------------------------------------------------------------------|
| طالب علم 4  | "یونیورسٹی میں نئے داخلہ لینے والے طلبہ کے لیے کیا اقدامات کیے گئے ہیں؟" |
| طالب علم 3  | "یونیورسٹی نے نئے داخلے کے لیے اور طلبہ کی رہنمائی کے لیے مختلف اور زیادہ جامع پروگرامز متعارف کروائے ہیں۔" |
| فیکلٹی 1    | "یونیورسٹی میں طلبہ کو بہترین تدریس فراہم کرنے کے لیے ہم نے نئے تدریسی طریقے اپنائے ہیں۔" |
| طالب علم 2  | "یونیورسٹی کی جانب سے تحقیق کے لیے نئے موضوعات کی تلاش کی جا رہی ہے۔"  |
| طالب علم 1  | "یونیورسٹی کا ریسرچ پارٹنرشپ پروگرام بہت اہمیت اختیار کر چکا ہے۔"      |
| طالب علم 4  | "یونیورسٹی نے نصاب کے معیار کو بہتر بنانے کے لیے عالمی تعلیمی اداروں سے اشتراک کیا ہے۔" |
| طالب علم 3  | "اس وقت یونیورسٹی میں بہت سی نئی ٹیکنالوجیز کا استعمال ہو رہا ہے۔"     |
| فیکلٹی 2    | "ہم یونیورسٹی میں جدید تدریسی طریقوں کو شامل کر رہے ہیں تاکہ طلبہ کو بہترین تعلیم مل سکے۔" |
| طالب علم 2  | "یونیورسٹی کی کمیونٹی سروس پروگرامز بھی بہت کامیاب ہو رہے ہیں۔"       |
| طالب علم 1  | "کیا یونیورسٹی نے نیا ایڈمنسٹریٹو آفس کھولا ہے؟"                       |
| فیکلٹی 1    | "جی ہاں، اس نئے آفس کے ذریعے طلبہ کے مسائل اور درخواستوں کا بہتر طور پر حل کیا جا رہا ہے۔" |
| طالب علم 3  | "یونیورسٹی کے مختلف شعبوں میں نئے کیریئر آپشنز بھی متعارف کرائے گئے ہیں۔" |
| طالب علم 4  | "یونیورسٹی میں نئے تعلیمی پروگرامز کے حوالے سے معلومات دینے کے لیے سیمینارز بھی منعقد کیے جا رہے ہیں۔" |
| طالب علم 2  | "یونیورسٹی میں جدید لیبز کی سہولت کی بہت زیادہ ضرورت تھی، اب یہ مکمل ہو گئی ہے۔" |
| فیکلٹی 2    | "ہم نے طلبہ کے لیے دنیا بھر میں تحقیق کرنے کے مواقع بڑھانے کے لیے نئے منصوبے شروع کیے ہیں۔" |
| طالب علم 1  | "یونیورسٹی میں نیا اسپیشلائزڈ فیکلٹی پروگرام بھی شروع ہو چکا ہے۔"      |
| طالب علم 4  | "مجھ سے مل کر تمہاری بہت سی باتوں کا جواب ملا، شکریہ!"                  |
| طالب علم 3  | "یونیورسٹی کی تعلیم اور ماحول ہمارے لیے بہت فائدہ مند ثابت ہو رہے ہیں۔" |
| طالب علم 2  | "یونیورسٹی کے ادارے اور پروگرامز میں بہت بہتری آ رہی ہے، اور ہم اس کا حصہ بن کر فخر محسوس کرتے ہیں۔" |
| فیکلٹی 1    | "ہماری سب سے بڑی کامیابی یہی ہے کہ طلبہ عالمی معیار کی تعلیم حاصل کر رہے ہیں۔" |
| طالب علم 4  | "یونیورسٹی میں نیا سسٹم بھی شروع کیا گیا ہے تاکہ ہمارے کام کی رفتار تیز ہو سکے۔" |
| طالب علم 1  | "ہاں، یہ سسٹم ہمارے لیے بہت مددگار ثابت ہو رہا ہے۔"                    |
| طالب علم 2  | "یونیورسٹی میں نئے آن لائن کورسز بھی متعارف کرائے گئے ہیں، جو ہمیں بین الاقوامی سطح پر تعلیم حاصل کرنے کا موقع دیتے ہیں۔" |
| فیکلٹی 2    | "ہمارا مقصد ہمیشہ طلبہ کو بہترین تعلیم دینا ہے تاکہ وہ عالمی معیار کے پیشہ ور بن سکیں۔" |
| طالب علم 3  | "یونیورسٹی کی ویب سائٹ پر تمام معلومات آسانی سے دستیاب ہیں، جس سے ہمیں بہت مدد ملتی ہے۔" |
| طالب علم 4  | "یونیورس

ٹی میں موجود کمیونٹی سینٹر بھی طلبہ کے لیے بہت مفید ثابت ہو رہا ہے۔" |
| فیکلٹی 1    | "ہم نے طلبہ کی فلاح کے لیے بہت سے نئے پروگرامز متعارف کرائے ہیں، جن سے وہ فائدہ اٹھا سکتے ہیں۔" |
| طالب علم 2  | "یونیورسٹی نے بین الاقوامی سطح پر اپنی پذیرائی بڑھانے کے لیے مختلف اقدامات کیے ہیں۔" |
| طالب علم 1  | "یونیورسٹی نے عالمی سطح پر متعدد یونیورسٹیز کے ساتھ اشتراک کیا ہے، جو ہمارے لیے بہت فائدہ مند ہے۔" |

